00:34:39:039, U5049739, 20
00:34:39:039, K2091889, 0
00:34:39:039, N4826235, 17
00:34:39:039, H4421781, 0
00:34:39:039, P6886212, 0
00:34:39:039, U4383524, E
00:34:39:039, N7271002, 21
00:34:39:039, N5025662, 3
00:34:39:039, S8159450, 9
00:34:39:039, U6708070, E
00:34:39:039, E7697051, E
00:34:39:039, F8264170, E
00:34:39:039, F4015083, E
00:34:39:039, C5212139, 6
00:34:39:039, A4256176, 0
00:34:39:039, L4062602, 0
00:34:39:039, M3404707, E
00:34:39:039, T5990698, 14
00:34:39:039, F5117890, 24
00:34:39:039, B7650940, E
00:34:39:039, W1650681, E
00:34:39:039, R7551262, E
00:34:39:039, V7237891, E
00:34:39:039, N5460541, E
00:34:39:039, Z7921786, 21
00:34:39:039, T8478486, E
00:34:39:039, L2810179, 0
00:34:39:039, L6979205, E
00:34:39:039, P1931023, 24
00:34:39:039, M5704612, E
00:34:39:039, F3120175, E
00:34:39:039, R5399824, E
00:34:39:039, E2510068, 17
00:34:39:039, Y7307039, 5
00:34:39:039, O6801689, E
00:34:39:039, K5659987, E
00:34:39:039, Z8178555, 13
00:34:39:039, P5945873, 18
00:34:39:039, U6989471, E
00:34:39:039, V2408807, 6
00:34:39:039, Y6059623, E
00:34:39:039, Z8025306, E
00:34:39:039, L4536690, E
00:34:39:039, R8892092, E
00:34:39:039, C6208525, E
00:34:39:039, D3067299, 1
00:34:39:039, R5494940, E
00:34:39:039, G5870748, E
00:34:39:039, B6772582, E
00:34:39:039, H3669397, E
00:34:39:039, C1473502, 1
00:34:39:039, X7088218, 11
00:34:39:039, W7940835, 0
00:34:39:039, N1533809, E
00:34:39:039, X6285682, E
00:34:39:039, P5509426, E
00:34:39:039, J5545772, E
00:34:39:039, R3904282, 7
00:34:39:039, O8991665, E
00:34:39:039, K2718151, 18
00:34:39:039, U8432174, E
00:34:39:039, L4367763, E
00:34:39:039, I7623255, 10
00:34:39:039, T2094161, 5
00:34:39:039, Q2526313, E
00:34:39:039, O7347885, 24
00:34:39:039, X3710696, E
00:34:39:039, Q3068173, 5
00:34:39:039, O2590715, 13
00:34:39:039, J6107962, E
00:34:39:039, J2962066, E
00:34:39:039, U2465864, 0
00:34:39:039, I1991353, E
00:34:39:039, Q6717156, 25
00:34:39:039, L4408509, 20
00:34:39:039, L3427551, E
00:34:39:039, R3477142, E
00:34:39:039, U7596139, E
00:34:39:039, W4166698, 21
00:34:39:039, P3449862, 9
00:34:39:039, D8362912, 26
00:34:39:039, O7600148, E
00:34:39:039, J5240447, 0
00:34:39:039, N1876559, E
00:34:39:039, M4484483, 6
00:34:39:039, S6498468, 0
00:34:39:039, L1251069, E
00:34:39:039, P6634307, 6
00:34:39:039, A2382370, E
00:34:39:039, X1531117, 12
00:34:39:039, L1714109, E
00:34:39:039, B5631344, 9
00:34:39:039, D4538959, E
00:34:39:039, V3210922, 4
00:34:39:039, U6520419, E
00:34:39:039, I4562929, E
00:34:39:039, K6798975, 23
00:34:39:039, E6126314, E
00:34:39:039, X5288148, E
00:34:39:039, S1082436, 17
00:34:39:039, P4663293, E
00:34:39:039, O3819642, 0
00:34:39:039, D8743652, E
00:34:39:039, O5018952, E
00:34:39:039, Q2130943, E
00:34:39:039, J3683631, E
00:34:39:039, Y6525066, 0
00:34:39:039, N4873243, E
00:34:39:039, K8997400, E
00:34:39:039, L1885539, E
00:34:39:039, O6667569, E
00:34:39:039, F6878580, E
00:34:39:039, P6612303, E
00:34:39:039, Z7033292, 3
00:34:39:039, U2173586, E
00:34:39:039, D4834572, E
00:34:39:039, X8135561, E
00:34:39:039, M7259582, E
00:34:39:039, M3451266, E
00:34:39:039, E6700943, 8
00:34:39:039, G6852057, E
00:34:39:039, K8869502, 8
00:34:39:039, J8385270, 0
00:34:39:039, K6447688, 24
00:34:39:039, F4366743, E
00:34:39:039, T7993031, E
00:34:39:039, H8461787, 10
00:34:39:039, Z7415174, E
00:34:39:039, M5437261, 20
00:34:39:039, D1982824, 0
00:34:39:039, Q8760955, 0
00:34:39:039, Z2191812, E
00:34:39:039, S1562658, E
00:34:39:039, Z2688209, E
00:34:39:039, Z7652271, E
00:34:39:039, K4549307, E
00:34:39:039, F1817307, E
00:34:39:039, K2392394, E
00:34:39:039, W4506693, E
00:34:39:039, B7981639, E
00:34:39:039, H7423385, E
00:34:39:039, W1827889, E
00:34:39:039, O7357075, E
00:34:39:039, Q1688123, E
00:34:39:039, B8842528, E
00:34:39:039, O8792732, E
00:34:39:039, D5006771, E
00:34:39:039, S6520650, E
00:34:39:039, I5221084, E
00:34:39:039, H3545106, E
00:34:39:039, T5529297, 0
00:34:39:039, Y3060491, E
00:34:39:039, M8812377, 13
00:34:39:039, U5218298, E
00:34:39:039, J8470845, 0
00:34:39:039, Y3849690, E
00:34:39:039, P4699924, 12
00:34:39:039, L7806403, 8
00:34:39:039, J4416384, 25
00:34:39:039, Q3412969, E
00:34:39:039, F3190586, E
00:34:39:039, B5047179, E
00:34:39:039, Q6162954, 1
00:34:39:039, H8280488, E
00:34:39:039, X3853383, E
00:34:39:039, A7833663, 18
00:34:39:039, S1582524, E
00:34:39:039, O5545878, E
00:34:39:039, K6885436, E
00:34:39:039, N1251591, E
00:34:39:039, C1212188, 0
00:34:39:039, B7166026, 2
00:34:39:039, X3135980, E
00:34:39:039, B7949057, E
00:34:39:039, Z5970229, 20
00:34:39:039, O5616466, 0
00:34:39:039, V4555419, 3
00:34:39:039, U3466270, E
00:34:39:039, P3676155, E
00:34:39:039, M7420642, E
00:34:39:039, F7849493, E
00:34:39:039, E5786783, 22
00:34:39:039, H1063388, E
00:34:39:039, I6664155, E
00:34:39:039, C6784419, E
00:34:39:039, Q6707467, 16
00:34:39:039, Y3126041, E
00:34:39:039, G7583052, E
00:34:39:039, W7136673, E
00:34:39:039, V8865356, 0
00:34:39:039, D4707477, 23
00:34:39:039, V1502844, E
00:34:39:039, F3095736, E
00:34:39:039, B7536654, E
00:34:39:039, T2290868, E
00:34:39:039, N1024148, E
00:34:39:039, Q6260757, E
00:34:39:039, Q2903640, E
00:34:39:039, B5338831, 25
00:34:39:039, H5069652, E
00:36:39:039, U5049739, 20
00:36:39:039, K2091889, 4
00:36:39:039, N4826235, 10
00:36:39:039, H4421781, 0
00:36:39:039, P6886212, 8
00:36:39:039, U4383524, E
00:36:39:039, N7271002, 25
00:36:39:039, N5025662, 8
